#: table_doi: 10.17182/hepdata.59485.v1/t1
#: name: Table 1
#: description: The measured differential elastic cross section. Data from the  tabulation in CERN-PH-EP-2012-239.

#: data_file: Table1.yaml
#: keyword reactions: P P --> P P
#: keyword observables: DSIG/DT
#: keyword phrases: Elastic | Single Differential Cross Section | Proton-Proton Elastic Scattering | Proton-Proton Scattering | Proton-Proton Elastic Differential Cross Section
#: keyword cmenergies: 7000.0
#: RE,,,P P -->P P
#: SQRT(S) [GeV],,,7000.0
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [MB/GEV**2]','stat +','stat -','sys +','sys -'
0.56,0.553,0.567,0.01846,0.00086,-0.00086,0.00516,-0.0071
0.574,0.567,0.581,0.01826,0.00085,-0.00085,0.0051,-0.007
0.588,0.581,0.595,0.02077,0.00092,-0.00092,0.0058,-0.00794
0.602,0.595,0.609,0.02285,0.00097,-0.00097,0.00637,-0.0087
0.616,0.609,0.622,0.02224,0.00096,-0.00096,0.0062,-0.00844
0.629,0.622,0.636,0.02423,0.00101,-0.00101,0.00675,-0.00917
0.643,0.636,0.65,0.02465,0.00099,-0.00099,0.00687,-0.0093
0.657,0.65,0.664,0.02743,0.00106,-0.00106,0.00764,-0.01031
0.671,0.664,0.678,0.02479,0.00098,-0.00098,0.0069,-0.00928
0.685,0.678,0.692,0.02511,0.00097,-0.00097,0.00698,-0.00937
0.7,0.692,0.707,0.02735,0.001,-0.001,0.0076,-0.01017
0.714,0.707,0.721,0.02652,0.00099,-0.00099,0.00737,-0.00983
0.728,0.721,0.735,0.02587,0.00096,-0.00096,0.00719,-0.00956
0.742,0.735,0.749,0.02505,0.00092,-0.00092,0.00695,-0.00922
0.757,0.749,0.764,0.02603,0.00095,-0.00095,0.00722,-0.00955
0.771,0.764,0.779,0.02407,0.00089,-0.00089,0.00667,-0.0088
0.786,0.779,0.793,0.02316,0.00084,-0.00084,0.00642,-0.00844
0.801,0.793,0.808,0.02134,0.00081,-0.00081,0.00591,-0.00775
0.816,0.808,0.823,0.02159,0.0008,-0.0008,0.00598,-0.00781
0.831,0.823,0.839,0.01893,0.00073,-0.00073,0.00524,-0.00682
0.847,0.839,0.855,0.01832,0.00071,-0.00071,0.00507,-0.00657
0.863,0.855,0.871,0.01633,0.00064,-0.00064,0.00451,-0.00584
0.88,0.871,0.888,0.01642,0.00063,-0.00063,0.00453,-0.00584
0.897,0.888,0.905,0.01695,0.00064,-0.00064,0.00468,-0.006
0.913,0.905,0.922,0.01414,0.00058,-0.00058,0.0039,-0.00499
0.931,0.922,0.939,0.01405,0.00056,-0.00056,0.00387,-0.00493
0.948,0.939,0.957,0.0141,0.00057,-0.00057,0.00388,-0.00493
0.966,0.957,0.976,0.01192,0.00049,-0.00049,0.00328,-0.00415
0.985,0.976,0.995,0.01225,0.00049,-0.00049,0.00337,-0.00424
1.005,0.995,1.015,0.01131,0.00047,-0.00047,0.00311,-0.0039
1.024,1.015,1.034,0.01004,0.00044,-0.00044,0.00276,-0.00344
1.044,1.034,1.054,0.008735,0.0004,-0.0004,0.002398,-0.002979
1.065,1.054,1.075,0.007866,0.000369,-0.000369,0.002158,-0.002668
1.0859999999999999,1.075,1.097,0.008133,0.000363,-0.000363,0.00223,-0.002743
1.108,1.097,1.12,0.007199,0.00034,-0.00034,0.001972,-0.002413
1.131,1.12,1.143,0.006501,0.000315,-0.000315,0.001779,-0.002166
1.155,1.143,1.167,0.005087,0.000269,-0.000269,0.001391,-0.001684
1.179,1.167,1.192,0.005261,0.000267,-0.000267,0.001437,-0.00173
1.205,1.192,1.219,0.004961,0.000254,-0.000254,0.001354,-0.00162
1.232,1.219,1.247,0.004224,0.000225,-0.000225,0.001152,-0.001369
1.261,1.247,1.276,0.0034,0.000196,-0.000196,0.000926,-0.001093
1.29,1.276,1.306,0.003264,0.000186,-0.000186,0.000888,-0.001041
1.322,1.306,1.338,0.002695,0.000164,-0.000164,0.000732,-0.000852
1.355,1.338,1.372,0.002213,0.000144,-0.000144,0.000601,-0.000693
1.39,1.372,1.409,0.001999,0.000131,-0.000131,0.000542,-0.00062
1.428,1.409,1.448,0.001633,0.000114,-0.000114,0.000442,-0.000501
1.467,1.448,1.487,0.001471,0.000106,-0.000106,0.000398,-0.000446
1.507,1.487,1.529,0.001066,8.7e-05,-8.7e-05,0.000288,-0.000319
1.552,1.529,1.578,0.0008409,7.09e-05,-7.09e-05,0.0002266,-0.0002483
1.603,1.578,1.63,0.0007474,6.55e-05,-6.55e-05,0.000201,-0.0002173
1.656,1.63,1.685,0.0005572,5.39e-05,-5.39e-05,0.0001496,-0.0001593
1.713,1.685,1.744,0.000464,4.76e-05,-4.76e-05,0.0001243,-0.0001303
1.777,1.744,1.814,0.000369,3.91e-05,-3.91e-05,9.86e-05,-0.0001015
1.851,1.814,1.893,0.0002161,2.79e-05,-2.79e-05,5.76e-05,-5.8e-05
1.932,1.893,1.977,0.0001917,2.52e-05,-2.52e-05,5.09e-05,-5e-05
2.024,1.977,2.078,0.000126,1.85e-05,-1.85e-05,3.34e-05,-3.19e-05
2.133,2.078,2.197,5.86e-05,1.152e-05,-1.152e-05,1.545e-05,-1.424e-05
2.272,2.197,2.367,4.122e-05,8.34e-06,-8.34e-06,1.081e-05,-9.5e-06
2.443,2.367,2.543,2.299e-05,5.46e-06,-5.46e-06,5.99e-06,-4.95e-06

